job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source,posted_date,job_title_clean,company_name_clean,salary_min_lpa,salary_max_lpa,salary_avg_lpa,exp_min_years,exp_max_years,experience_level,primary_city,is_remote,is_hybrid,text_to_search,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_r,has_statistics,has_machine_learning,has_data_visualization,has_etl,has_pandas,has_numpy,has_scikit-learn,has_aws,has_azure,has_big_data,total_skills_mentioned,cleaned_at,days_since_scraped
Tech Analyst-DATA-CCO Sh.Serv.,https://www.naukri.com/job-listings-tech-analyst-data-cco-sh-serv-deutsche-bank-pune-2-to-6-years-011225505833,Deutsche Bank,2-6 Yrs,Not Disclosed,Pune,"Maven, Front end, GIT, Wealth management, Test management, Javascript, Agile, German, Save",,data-analyst,pune,2025-12-04 12:14:24,Naukri,,Tech Analyst-DATA-CCO Sh.Serv.,Deutsche Bank,,,,2.0,6.0,Entry Level (0-2 years),Pune,False,False," maven, front end, git, wealth management, test management, javascript, agile, german, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-primohunt-corporate-pune-0-to-3-years-110722502690,Primohunt Corporate,0-3 Yrs,Not Disclosed,Pune,"Analytical skills, Market study, Data analysis, Google Analytics, Coding, Database, Webtrends, Data Analyst, Save",,data-analyst,pune,2025-12-04 12:14:25,Naukri,,Data Analyst,Primohunt Corporate,,,,0.0,3.0,Fresher (0 years),Pune,False,False," analytical skills, market study, data analysis, google analytics, coding, database, webtrends, data analyst, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-improx-data-and-cloud-consulting-pvt-ltd-pune-0-to-2-years-311022501968,Improx Data And Cloud Consulting,0-2 Yrs,Not Disclosed,Pune,"Operations Analyst, Data management, Coding, Data collection, Test cases, Continuous improvement, Information technology, SQL, Save",,data-analyst,pune,2025-12-04 12:14:26,Naukri,,Data Analyst,Improx Data And Cloud Consulting,,,,0.0,2.0,Fresher (0 years),Pune,False,False," operations analyst, data management, coding, data collection, test cases, continuous improvement, information technology, sql, save",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-sfour-media-private-limited-pune-1-to-3-years-280725500776,Sfour Media,1-3 Yrs,Not Disclosed,Pune,"database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis, Save",,data-analyst,pune,2025-12-04 12:14:26,Naukri,,Data Analyst,Sfour Media,,,,1.0,3.0,Entry Level (0-2 years),Pune,False,False," database maintenance, python, data analytics, data analysis, sas, data mining, predictive analytics, business analysis, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Looking For immediate joiners - Lab Data Analyst-Python Programming,https://www.naukri.com/job-listings-looking-for-immediate-joiners-lab-data-analyst-python-programming-iqvia-pune-bengaluru-mumbai-all-areas-2-to-5-years-051125000118,IQVIA,2-5 Yrs,Not Disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","PYTHON PROGRAMMING, Pyspark, Python Data Analytics, Python Data, PYTHON SCRIPTING, Numpy, Python, Program, Save",,data-analyst,pune,2025-12-04 12:14:27,Naukri,,Data Analyst,IQVIA,,,,2.0,5.0,Entry Level (0-2 years),Pune,False,True," python programming, pyspark, python data analytics, python data, python scripting, numpy, python, program, save",True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,3,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-entytle-iinc-pune-0-to-5-years-010524501422,Entytle,0-5 Yrs,Not Disclosed,Pune,"Computer science, Data analysis, SAP, Intern, Analytical, Perl, Oracle, Data mining, Save",,data-analyst,pune,2025-12-04 12:14:27,Naukri,,Data Analyst,Entytle,,,,0.0,5.0,Fresher (0 years),Pune,False,False," computer science, data analysis, sap, intern, analytical, perl, oracle, data mining, save",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst BA,https://www.naukri.com/job-listings-data-analyst-ba-capco-technologies-pvt-ltd-pune-7-to-12-years-191125502798,Capco,7-12 Yrs,Not Disclosed,Pune,"Unix, Agile, Scrum, Data quality, Test cases, Visio, JIRA, Financial services, Save",,data-analyst,pune,2025-12-04 12:14:28,Naukri,,Data Analyst,Capco,,,,7.0,12.0,Senior Level (5+ years),Pune,False,False," unix, agile, scrum, data quality, test cases, visio, jira, financial services, save",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-caliche-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-6-years-061124503717,Caliche,3-6 Yrs,Not Disclosed,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru","metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, Save",,data-analyst,pune,2025-12-04 12:14:28,Naukri,,Data Analyst,Caliche,,,,3.0,6.0,Mid Level (3-5 years),Pune,False,False," metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining, save",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-sampoorna-consultants-pune-2-to-5-years-051125014314,Leading Client of Sampoorna,2-5 Yrs,Not Disclosed,Pune,"Power Bi, Data Analysis, Data Analytics, Mmm, Data Reporting, Advanced Analytics, Data Visualization, Marketing Mix, Save",,data-analyst,pune,2025-12-04 12:14:28,Naukri,,Data Analyst,Leading Client of Sampoorna,,,,2.0,5.0,Entry Level (0-2 years),Pune,False,False," power bi, data analysis, data analytics, mmm, data reporting, advanced analytics, data visualization, marketing mix, save",False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2,2025-12-09 20:13:03,5
Data Analyst,https://www.naukri.com/job-listings-data-analyst-rohan-builders-developers-nagar-pune-4-to-8-years-170325500866,Rohan Builders & Developers,4-8 Yrs,Not Disclosed,"Pune, Nagar","data analysis, data analytics, data interpretation, design development, data mining, strong analytical skills, power bi, process improvement, Save",,data-analyst,pune,2025-12-04 12:14:29,Naukri,,Data Analyst,Rohan Builders & Developers,,,,4.0,8.0,Mid Level (3-5 years),Pune,False,False," data analysis, data analytics, data interpretation, design development, data mining, strong analytical skills, power bi, process improvement, save",False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,2025-12-09 20:13:03,5
