job_title,job_url,company_name,experience,salary,location,skills,description,search_keyword,search_location,scraped_at,source
Data Analyst,https://www.naukri.com/job-listings-data-analyst-myridius-x-aethereus-pune-chennai-3-to-6-years-141125502993,Myridius x Aethereus,3-6 Yrs,Not Disclosed,"Chennai, Pune","Data analysis, operational support, data security, MySQL, SCALA, Data mining, JIRA, Operations, Save",N/A,data-analyst,chennai,2025-12-04 12:23:19,Naukri
Data Lineage Analyst,https://www.naukri.com/job-listings-data-lineage-analyst-apptad-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-7-years-100925504226,Apptad,4-7 Yrs,Not Disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru","IT Analyst, data governance, Data analysis, Data, Governance, Save",N/A,data-analyst,chennai,2025-12-04 12:23:20,Naukri
Data Governance Purview Analyst,https://www.naukri.com/job-listings-data-governance-purview-analyst-zorba-consulting-chennai-8-to-10-years-141125919425,Leading Client,8-10 Yrs,Not Disclosed,Chennai,"Data Governance, Azure Data Factory, Microsoft Purview, Data Quality, Cloud, Data Management, Data Modeling, Data Analytics, Save",N/A,data-analyst,chennai,2025-12-04 12:23:20,Naukri
Online Data Analyst,https://www.naukri.com/job-listings-online-data-analyst-local-search-chennai-0-to-0-years-051125016445,Local Job Search,0 Yrs,1.5-2 Lacs PA,Remote,"Email Writing, English Writing, English Typing, Typing, English, Email, Data, Writing, Save",N/A,data-analyst,chennai,2025-12-04 12:23:33,Naukri
Junior Medical Data Analyst( Non-IT),https://www.naukri.com/job-listings-junior-medical-data-analyst-non-it-workfreaks-business-services-chennai-0-to-1-years-081125009996,Workfreaks Business Services Pvt Ltd,0-1 Yrs,"50,000-1.5 Lacs PA",Chennai(Nungambakkam),"Scribe, Clinical Research, Medical Scribe, Data, Research, Medical, Clinical, Save",N/A,data-analyst,chennai,2025-12-04 12:23:34,Naukri
Internship Junior Data Analyst,https://www.naukri.com/job-listings-internship-junior-data-analyst-rezultize-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-0-to-1-years-241224503390,Rezultize,0-1 Yrs,Not Disclosed,"Chennai, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Bengaluru","Computer science, Data analysis, Analytical, Data collection, Market research, Customer engagement, Internship, SQL, Save",N/A,data-analyst,chennai,2025-12-04 12:23:35,Naukri
Business Analyst / Data Analyst,https://www.naukri.com/job-listings-business-analyst-data-analyst-zorba-consulting-chennai-bengaluru-3-to-5-years-141125913132,Leading Client,3-5 Yrs,Not Disclosed,"Chennai, Bengaluru","Business Analyst, Visualization, Pandas, Dashboard Design, Data Analyst, Statistical Analyst, Data Modeling, Data Analytics, Save",N/A,data-analyst,chennai,2025-12-04 12:23:36,Naukri
Data Analyst cum Business Analyst,https://www.naukri.com/job-listings-data-analyst-business-analyst-royal-enfield-chennai-2-to-4-years-241125021221,Royal Enfield,2-4 Yrs,Not Disclosed,Chennai,"Excel, Power Bi, Requirement Gathering, Tableau, SQL, Business Analytics, Data Analytics, Python, Save",N/A,data-analyst,chennai,2025-12-04 12:23:36,Naukri
Data Analyst - Automation,https://www.naukri.com/job-listings-data-analyst-automation-egps-ventures-india-chennai-3-to-6-years-310125003055,Egps Ventures India,3-6 Yrs,4.5-9.5 Lacs PA,Chennai,"API Integration, VBA, Fullstack Development, Ai Solutions, Artificial Intelligence, SQL, Data, Automation, Save",N/A,data-analyst,chennai,2025-12-04 12:23:37,Naukri
Business Analyst/Data Analyst,https://www.naukri.com/job-listings-business-analyst-data-analyst-ideslabs-private-limited-pune-chennai-bengaluru-4-to-9-years-271125921856,Leading Client,4-9 Yrs,Not Disclosed,"Chennai, Pune, Bengaluru","data analyst, data quality, data analysis, visio, loans, design, business analyst, analytical skills, Save",N/A,data-analyst,chennai,2025-12-04 12:23:38,Naukri
